year,month,day,hour,trips,day_of_week,event_of_day
2016,8,9,18,64,3, 
2016,8,9,19,67,3, 
2016,8,9,20,65,3, 
2016,8,9,21,28,3, 
2016,8,9,22,30,3, 
2016,8,9,23,23,3, 
2016,8,9,24,8,3, 
2016,8,10,0,821,4, 
2016,8,10,1,7,4, 
2016,8,10,2,5,4, 
2016,8,10,3,6,4, 
2016,8,10,4,1,4, 
2016,8,10,5,5,4, 
2016,8,10,6,10,4, 
2016,8,10,7,13,4, 
2016,8,10,8,27,4, 
2016,8,10,9,40,4, 
2016,8,10,10,40,4, 
2016,8,10,11,26,4, 
2016,8,10,12,51,4, 
2016,8,10,13,74,4, 
2016,8,10,14,53,4, 
2016,8,10,15,38,4, 
2016,8,10,16,50,4, 
2016,8,10,17,59,4, 
2016,8,10,18,80,4, 
2016,8,10,19,51,4, 
2016,8,10,20,61,4, 
2016,8,10,21,40,4, 
2016,8,10,22,42,4, 
2016,8,10,23,25,4, 
2016,8,10,24,17,4, 
2016,8,11,0,942,5, 
2016,8,11,1,15,5, 
2016,8,11,2,4,5, 
2016,8,11,3,2,5, 
2016,8,11,4,4,5, 
2016,8,11,5,4,5, 
2016,8,11,6,6,5, 
2016,8,11,7,17,5, 
2016,8,11,8,30,5, 
2016,8,11,9,42,5, 
2016,8,11,10,28,5, 
2016,8,11,11,37,5, 
2016,8,11,12,64,5, 
2016,8,11,13,56,5, 
2016,8,11,14,67,5, 
2016,8,11,15,57,5, 
2016,8,11,16,55,5, 
2016,8,11,17,67,5, 
2016,8,11,18,101,5, 
2016,8,11,19,73,5, 
2016,8,11,20,77,5, 
2016,8,11,21,61,5, 
2016,8,11,22,22,5, 
2016,8,11,23,32,5, 
2016,8,11,24,21,5, 
2016,8,12,0,832,6, 
2016,8,12,1,10,6, 
2016,8,12,2,9,6, 
2016,8,12,3,3,6, 
2016,8,12,4,1,6, 
2016,8,12,5,3,6, 
2016,8,12,6,4,6, 
2016,8,12,7,13,6, 
2016,8,12,8,25,6, 
2016,8,12,9,63,6, 
